id;start_date;end_date;language
1;2020-02-01T14:20:37;2020-02-01T12:10:52;SPANISH
2;2020-01-31T19:10:48;2020-02-01T14:15:13;SPANISH
3;2020-02-01T10:06:07;2020-01-31T20:40:16;FRENCH
4;2020-02-01T01:23:38;2020-02-01T12:55:04;FRENCH
5;2020-02-01T10:53:56;2020-02-01T15:40:55;FRENCH
6;2020-02-01T04:46:17;2020-02-01T16:54:31;FRENCH
7;2020-02-01T06:31:37;2020-02-01T00:22:28;FRENCH
8;2020-02-01T05:27:50;2020-02-01T15:43:58;SPANISH
9;2020-02-01T04:08:59;2020-02-01T00:50:22;SPANISH
10;2020-02-01T12:21:03;2020-01-31T22:55:33;SPANISH
